question_id,question,model_answer,ground_truth,confidence,cosine_sim
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?", 2000,2000,0.7697523832321167,1.0
5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?", thornhill,"Fujioka, Gunma",0.5224308371543884,0.1409604251384735
5ae0361155429925eb1afc2c,Which  French ace pilot and adventurer fly L'Oiseau Blanc, georges madon georges felix madon,Charles Eugène,0.23185868561267853,0.31041866540908813
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,,no,0.9965264201164246,0.503203272819519
5a7cc50e554299452d57ba3e,"Which band, Letters to Cleo or Screaming Trees, had more members?",,Letters to Cleo,0.7455844283103943,0.15262813866138458
5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?, persecution,October 1922,0.11390186101198196,0.1419035941362381
5a8ef2a75542995a26add583,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,,2000,0.6290942430496216,0.2934817671775818
5a80721b554299485f5985ef,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?", world war i,World War II,0.2871014475822449,0.7879026532173157
5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,,no,0.9941660165786743,0.503203272819519
5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?, upper manhattan,New York City,0.1721583604812622,0.6786819696426392
5a7a0e1e5542990783324e1a,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,,Scotch Collie,0.46028926968574524,0.11639536917209625
5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? , kerala,Mumbai,0.7806400656700134,0.5267950892448425
5a79311755429970f5fffe67,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",,1962,0.9945417046546936,0.16097375750541687
5ab2d3df554299194fa9352c,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,,sovereignty,0.4016457498073578,0.2318667769432068
5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,,Nelson Rockefeller,0.9348421096801758,0.09767130017280579
5a7d54165542995f4f402256,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",,Yellowcraig,0.995887041091919,0.30320870876312256
5ab859a955429934fafe6d7b,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?," phil spector, through the 1960s, released in 1991 by abkco as # 7118 - 2. the first track, "" to know him is to love him, "" released in 1958, features spector performing as part of the group the teddy bears. initially a vinyl album - sized package, the box contained a booklet with photographs, complete song lyrics, discographical information, and a reproduction of the essay on spector by tom wolfe, "" the first tycoon of teen. "" the package also contained a small, round, red "" back to mono "" pin. nashville rebel ( box set ) nashville rebel is a box set by waylon jennings, released on rca records through legacy recordings in 2006. according to allmusic ' s stephen thomas erlewine",Phil Spector,0.2124810814857483,0.36661481857299805
5add61d65542995b365fab21,What type of forum did a former Soviet statesman initiate?,,Organizations could come together to address global issues,0.9813603162765503,0.06660196185112
5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,Are Ferocactus and Silene both types of plant?ferocactus ferocactus is a genus of large barrel - shaped cacti,yes,0.12798255681991577,0.0648505911231041
5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,"Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?south west pacific area ( command ) south west pacific area ( swpa ) was the name given to the allied supreme military command in the south west pacific theatre of world war ii. it was one of four major allied commands in the pacific war. swpa included the philippines, borneo, the dutch east indies ( excluding sumatra ), east timor, australia, the territories of papua and new guinea, and the western part of the solomon islands. it primarily consisted of united states and australian forces, although dutch, filipino, british and other allied forces also served in the swpa. tupolev tu - 12 the tupolev tu - 12 ( development designation tu - 77 ) was an experimental soviet jet - powered medium bomber developed from the successful piston - engined tupolev tu - 2 bomber after the end of world war ii. it was designed as a transitional aircraft to familiarize tupolev and the vvs with the issues involved with jet - engined bombers. english electric canberra the english electric canberra",English Electric Canberra,0.4276852011680603,0.24624937772750854
5a8e1027554299653c1aa15f,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?, 2009,2009 Big 12 Conference,0.1964547336101532,0.47130897641181946
5ab84bf555429916710eb01f,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,,"1,462",0.9551907181739807,-0.07170069962739944
5a77724455429972597f153e,What race track in the midwest hosts a 500 mile race eavery May?,,Indianapolis Motor Speedway,0.9908134341239929,0.1673179566860199
5a87c13f5542996e4f30890c,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",,Rome,0.39813855290412903,0.22191014885902405
5ab96ab755429970cfb8eacd,"Ellie Goulding worked with what other writers on her third studio album, Delirium?",,"Max Martin, Savan Kotecha and Ilya Salmanzadeh",0.3548344075679779,0.14923587441444397
5a8a43eb5542996c9b8d5e82,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,,"Marion, South Australia",0.964599072933197,0.138390451669693
5ae73acb5542991e8301cc07,D1NZ is a series based on what oversteering technique?,,Drifting,0.7738804221153259,0.2502002716064453
5a7320565542991f9a20c61d,who is younger Keith Bostic or Jerry Glanville ?,,Keith Bostic,0.10923034697771072,0.17067016661167145
5ae32e125542991a06ce9946,"According to the 2001 census, what was the population of the city in which Kirton End is located?", 273,"35,124",0.35647451877593994,0.23316869139671326
5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,,no,0.9346397519111633,0.503203272819519
5a8b20335542996c9b8d5fb3,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,,shortest player ever to play in the National Basketball Association,0.9893748164176941,-0.008996561169624329
5a85fb085542994775f606de,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,,Ronald Shusett,0.9948895573616028,0.18425722420215607
5a7be2595542997c3ec972ac,"Who was born earlier, Emma Bull or Virginia Woolf?","Who was born earlier, Emma Bull or Virginia Woolf?virginia woolf adeline virginia woolf ( nee stephen ; 25 january 1882 – 28 march 1941 ) was an english writer who is considered one of the foremost modernists of the twentieth century, and a pioneer in the use of stream of consciousness as a narrative device. born in an affluent household in kensington, london, she attended the king ' s college london and was acquainted with the early reformers of women ' s higher education. the mark on the wall "" the mark on the wall "" is the first published story by virginia woolf. it was published in 1917 as part of the first collection of short stories written by virginia woolf and her husband, leonard woolf, called "" two stories "". it was later published in new york in 1921 as part of another collection entitled "" monday or tuesday "". emma bull emma bull ( born december 13, 1954",Adeline Virginia Woolf,0.3634445071220398,0.3934256434440613
5a77152355429966f1a36c2e,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,,821,0.9964796304702759,0.17217208445072174
5a8f4c8d554299458435d5a3,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,,more than 70 countries,0.18752580881118774,0.09030946344137192
5a80840f554299485f59863b,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,,Charmed,0.9970647692680359,0.18811044096946716
5a8361b65542992ef85e22a0,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?, australian national boxing hall of fame,International Boxing Hall of Fame,0.6315850019454956,0.8343965411186218
5ae7ba7a5542993210983f12,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",,Usher,0.41935861110687256,0.2605636715888977
5ac2acff55429921a00ab02b,who is the younger brother of The episode guest stars of The Hard Easy , thomas middleditch,Bill Murray,0.9073823094367981,0.3653932809829712
5aba7cfe554299232ef4a2fd,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,,Carabao Cup,0.9782915115356445,0.2510914206504822
5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",,Teen Titans Go!,0.819864809513092,0.16370362043380737
5ae1f4cb554299234fd0436d,What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,,"276,170 inhabitants",0.970777153968811,0.06829747557640076
5ae7e1fc55429952e35ea9cc,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,,orange,0.48160117864608765,0.3187338709831238
5ae37c765542992f92d822d4,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",,Tromeo and Juliet,0.99537593126297,0.06739196181297302
5ae33c4d5542992f92d82262,Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,,William Jefferson Clinton,0.9839836359024048,0.15678665041923523
5a77cb335542997042120b3a,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,,John John Florence,0.34786587953567505,0.08092612773180008
5a8979f4554299669944a52e,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,,Ann,0.9320521950721741,0.23663482069969177
5a713ea95542994082a3e6e4,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,,Apalachees,0.8256704211235046,0.22293639183044434
5a78bd9b554299078472774a,What nationality were social anthropologists Alfred Gell and Edmund Leach?, british,British,0.3628924787044525,1.0
5a7625e8554299109176e66a,In which year was the King who made the 1925 Birthday Honours born?,,1865,0.21612156927585602,0.2195507436990738
5ae2dd2055429928c423950d,"What is the county seat of the county where East Lempster, New Hampshire is located?",,Newport,0.985209584236145,0.20664173364639282
5abdf12255429976d4830a2f,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,,Bob Seger,0.954085111618042,0.22032034397125244
5a88658955429938390d3f47,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,,Conscription,0.3746267259120941,0.15029221773147583
5a86ebac55429960ec39b6d6,"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?", mondelez international,"Mondelez International, Inc.",0.839083731174469,0.9070473313331604
5aba5d2e55429901930fa799,"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",,Monica Lewinsky,0.9887081980705261,0.19894294440746307
5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?"," april 1, 1949","April 1, 1949",0.4260100722312927,0.9999999403953552
5ae005b555429942ec259bec,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",,1866,0.9653232097625732,0.2163582444190979
5a7759fc5542993569682d60,Where are Teide National Park and Garajonay National Park located?,,"Canary Islands, Spain",0.37606367468833923,0.12499123066663742
5a835478554299123d8c20ed,How many copies of Roald Dahl's variation on a popular anecdote sold?, 250 million,250 million,0.299789696931839,1.0000001192092896
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,,director,0.8602408170700073,0.246626079082489
5abfb3425542990832d3a1c0,Andrew Jaspan was the co-founder of what not-for-profit media outlet?, the conversation,The Conversation,0.5236715078353882,1.0
5ac3165c5542995ef918c10a,Which American film director hosted the 18th Independent Spirit Awards in 2002?, john waters,John Waters,0.23294338583946228,1.0
5ae53b545542990ba0bbb23c,Where does the hotel and casino located in which Bill Cosby's third album was recorded?, flamingo las vegas flamingo las vegas,Las Vegas Strip in Paradise,0.23985853791236877,0.5911650657653809
5ae224da554299234fd043ee,Do the drinks Gibson and Zurracapote both contain gin?,,no,0.9505133032798767,0.503203272819519
5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",,March and April,0.9890809059143066,0.15809130668640137
5a80b3a9554299485f5986cc,Tysons Galleria is located in what county?,,Fairfax County,0.9349420070648193,0.14553441107273102
5a8e0a005542995085b373a1,Bordan Tkachuk was the CEO of a company that provides what sort of products?,,IT products and services,0.9962007403373718,0.15639689564704895
5ac1b8ee5542994d76dccedc,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",,Levni Yilmaz,0.4233498275279999,0.22428540885448456
5adccd795542990d50227d2c,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?, morocco,Beijing,0.9272037148475647,0.35769954323768616
5a84c4135542994c784dda31,Are Yingkou and Fuding the same level of city?,,no,0.34764042496681213,0.503203272819519
5a85eed75542996432c5713b,Where did the descendants of the group of black Indians associated with the Seminole people settle?, florida and oklahoma,"Coahuila, Mexico",0.6540469527244568,0.2867678701877594
5a774e9c55429972597f14f3,David Huntsinger has worked with this gospel singer born in the month of July?,,Larnelle Harris,0.988508939743042,0.12158270925283432
5ae738f75542991bbc9761c4,What year was the brother of this first round draft pick by the Washington Redskins drafted?,,2003,0.9809366464614868,0.2584366202354431
5ac32b565542995ef918c154,Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? , grant field in atlanta,North Avenue at Techwood Drive,0.2253495752811432,0.33879444003105164
5abc8d75554299700f9d7900,"Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?", leo varadkar,Leo Varadkar,0.9892179369926453,0.9999998807907104
5a8bb29b554299240d9c2089,Which American film actor and dancer starred in the 1945 film Johnny Angel?,,George Raft,0.9051260352134705,0.12775540351867676
5ab659e355429954757d324e,hree Men on a Horse is a play by a playwright born in which year ?,,1887,0.6604669690132141,0.17633536458015442
5a8b8b3155429949d91db5d7,What type of activity does Owner earnings and Warren Buffett have in common?,,business,0.9136229753494263,0.37598931789398193
5ae7eaf65542994a481bbe1d,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,,7 October 1978,0.9795897603034973,0.14132967591285706
5a8c4c625542995e66a475a1,"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",,B-17 Flying Fortress bomber,0.7956930994987488,0.10573109984397888
5a818387554299260e20a291,"Based on a True Story... is an album by which country music star, with the single My Eyes?", blake shelton,Blake Shelton,0.395467072725296,1.0000001192092896
5ab978855542996be2020512,"Over how many centuries were the ""dwelling place of the dead"" built?",,three centuries,0.9878429174423218,0.2240174114704132
5ae63dad55429929b0807afe,"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",,7 January 1936,0.9941444396972656,0.08592508733272552
5a7a455c5542994f819ef1a7,"Who died first, George Archainbaud or Ralph Murphy?",,George Archainbaud,0.994945228099823,0.11244206130504608
5a7dcc775542990b8f503ab5,Which component of shellite has the formula (ON)CHOH?,,picric acid,0.9881662130355835,0.17471545934677124
5a887bc0554299206df2b2b6,The Argentine PGA Championship record holder has won how many tournaments worldwide?, 230,230,0.6242560148239136,1.0000001192092896
5a83880e554299123d8c214e,Suicide's 1977 released album features a song based on what brand's comic character?,"Suicide's 1977 released album features a song based on what brand's comic character?suicide ( 1977 album ) suicide is the debut album from the american rock band suicide. it was released in 1977 on red star records and produced by craig leon and marty thau. the album was recorded in four days at ultima sound studios in new york and featured martin rev ' s minimalist electronics and harsh, repetitive rhythms paired with alan vega ' s rock and roll - inspired vocals and depictions of urban life. in my country there is problem "" in my country there is problem "", also known as "" throw the jew down the well "" after the song ' s key line, is a song written by british comedian sacha baron cohen for his comic character borat sagdiyev",Marvel,0.3412860035896301,0.13386648893356323
5a879adb5542996e4f30887f,What other political position did the person who introduced the DISCLOSE Act hold?,,United States Senator,0.9396353960037231,0.14712172746658325
5add11935542994734353827,Were the bands Skin Yard and Ostava from the U.S.?,,no,0.9842593669891357,0.503203272819519
5a8c5569554299240d9c2126,Are Daryl Hall and Gerry Marsden both musicians?,,yes,0.9587777256965637,0.4865747094154358
5a75f0ea5542994ccc91866c,What major truck road is located in Backford Cross?,,The A41,0.9756689071655273,0.12429963797330856
5a89f5815542993b751ca9c5,In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?,,Princess Jessica,0.997372031211853,0.19370171427726746
5a8d5fc6554299585d9e37c6,"What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?",,The Spiderwick Chronicles,0.956318736076355,0.1601029485464096
5ac120c55542992a796dedfc,Maxeda has been owned since 2004 by which American multinational equity firm?, kohlberg kravis roberts,KKR & Co,0.9702007174491882,0.4649086594581604
5ab7c1a955429928e1fe38c8,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,,The Bye Bye Man,0.982336699962616,0.19562111794948578
5abd01205542992ac4f3819b,Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,,Richmond,0.9236544370651245,0.2879524230957031
5ab69c25554299110f219a39,"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?""",owsley stanley owsley stanley,Owsley Stanley,0.7544517517089844,0.9749144315719604
5a7b12a355429927d897bf2a,When was the palace founded at which Columba de Dunbar died in 1435?,,the late 12th Century,0.1917121857404709,0.058369677513837814
5ae0006755429925eb1afbd3,"Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?", downtown san luis obispo,"San Luis Obispo, California",0.8108144998550415,0.8539490699768066
5ae305df5542992decbdcdc3,"At what venue was the January 2, 2012 game featured the University of Louisville team?",,Mercedes-Benz Superdome,0.9846860766410828,0.13860160112380981
5a8574945542997b5ce3fffb,"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",,LaLee's Kin: The Legacy of Cotton,0.8511145710945129,0.0897417813539505
5a7332935542991f9a20c67d,"Which board game was published most recently, Pirate's Cove or Catan?",,Pirate's Cove,0.6100569367408752,0.1831844449043274
5a80071f5542992bc0c4a684,Alice David is the voice of Lara Croft in a video game developed by which company ?,,Crystal Dynamics,0.11018882691860199,0.016184868291020393
5ae73c065542991e8301cc18,"Which Eminem album included vocals from a singer who had an album titled ""Unapologetic""?",,"""The Marshall Mathers LP 2""",0.978034496307373,0.1001623123884201
5a87d8215542994775f60800,"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film? ",,Suicide Squad,0.7319814562797546,0.19293202459812164
5ac2ffbd554299677310267b,SuperMansion starred the actress who had a recurring role as whom on Workaholics?,,Jillian Belk,0.9941281080245972,0.19387409090995789
5a7c960655429935c91b5244,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",,Texas Tech University,0.9492882490158081,0.13348375260829926
5a7d61775542991319bc93b9,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",,Lord Combermere,0.9882786870002747,0.15646453201770782
5ac1c6805542994ab5c67e11,For what type of work is the production company for The Year Without a Santa Claus best known?,,"seasonal television specials, particularly its work in stop motion animation",0.3750731348991394,0.09333832561969757
5a7a230e5542996a35c170ee,"What year was the film that starred the composer for ""The Naked Brothers Band""?",,2014,0.9763704538345337,0.4070804715156555
5ae4627d5542991a06ce9a4d,The author of Sexual Politics attended which British University?,,Oxford,0.9943401217460632,0.20287634432315826
5ac2d1d755429921a00ab053,"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?", roberta vinci chose not to continue her performance before the quarterfinals. 1994 athens international – doubles horacio de la pena and jorge lozano,Roberta Vinci,0.09164679050445557,0.5139372944831848
5ab4e3065542990594ba9cb4,Both Truth in Science and Discovery embrace what campaign?,,"""Teach the Controversy"" campaign",0.974032998085022,0.17084760963916779
5ac298f9554299657fa28fc9,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",,Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,0.9562297463417053,0.07462946325540543
5ab6a2be554299710c8d1f08,The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,,Nebo Zovyot,0.981939435005188,0.2697542905807495
5a738d27554299623ed4abf3,"Who was born first, Erika Jayne or Marco Da Silva",,Erika Jayne,0.9325606226921082,0.1853649765253067
5ab2a186554299295394677b,"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",,2009,0.992666482925415,0.3339373469352722
5a8704f8554299211dda2ba4,What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,,Kingdom of the Isles,0.892376184463501,0.14345401525497437
5ab5ed505542997d4ad1f255,"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?", the beatles,The Beatles,0.5376430153846741,1.0
5a77c1505542997042120b1b,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?", chattahoochee,"""We'll Burn That Bridge""",0.4266195595264435,0.12650828063488007
5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,,director,0.921045184135437,0.246626079082489
5ae748d1554299572ea547b0,"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",,1901,0.9801765084266663,0.10411196947097778
5a7a8a9c554299042af8f666,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,,Argand lamp,0.947340726852417,0.19461585581302643
5adffe7155429906c02daa9e,"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",,seven,0.9957774877548218,0.3397870659828186
5ab642845542995eadeeff8e,Are Broughtonia and Laeliocattleya both orchids?,,yes,0.9873223304748535,0.4865747094154358
5a906a685542990a9849362e,Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,,Brazil,0.9367767572402954,0.23253965377807617
5a7633ad5542992db9473741,"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",,The Seven Days Battles,0.6669411659240723,0.16443899273872375
